order_id,customer_id,sku,qty,unit_price
ORD-2025-000001,4,SSD-001,2,199.99
ORD-2024-000002,3,TABLET-001,5,599.99
ORD-2025-000003,2,MONITOR-001,1,499.99
ORD-2025-000004,3,TABLET-001,1,599.99
ORD-2024-000005,3,WATCH-001,1,399.99
ORD-2025-000006,2,PHONE-001,3,999.99
ORD-2025-000007,1,WATCH-001,4,399.99
ORD-2025-000008,4,HEADPHONE-001,1,349.99
ORD-2025-000009,5,WATCH-001,3,399.99
ORD-2025-000010,5,LAPTOP-001,5,1299.99
ORD-2025-000011,2,PHONE-001,5,999.99
ORD-2025-000012,4,LAPTOP-001,3,1299.99
ORD-2025-000013,1,HEADPHONE-001,1,349.99
ORD-2025-000014,1,PHONE-001,2,999.99
ORD-2025-000015,5,KEYBOARD-001,5,129.99
ORD-2025-000016,2,MONITOR-001,3,499.99
ORD-2025-000017,2,MONITOR-001,2,499.99
ORD-2025-000018,3,LAPTOP-001,5,1299.99
ORD-2025-000019,2,TABLET-001,4,599.99
ORD-2025-000020,2,KEYBOARD-001,4,129.99
ORD-2024-000021,4,MONITOR-001,1,499.99
ORD-2025-000022,5,HEADPHONE-001,4,349.99
ORD-2025-000023,5,HEADPHONE-001,2,349.99
ORD-2025-000024,4,TABLET-001,2,599.99
ORD-2025-000025,1,PHONE-001,4,999.99
ORD-2025-000026,4,TABLET-001,1,599.99
ORD-2024-000027,1,ROUTER-001,1,249.99
ORD-2025-000028,3,LAPTOP-001,3,1299.99
ORD-2025-000029,3,HEADPHONE-001,2,349.99
ORD-2025-000030,2,MOUSE-001,5,89.99
ORD-2025-000031,2,SSD-001,4,199.99
ORD-2025-000032,4,WATCH-001,5,399.99
ORD-2025-000033,2,HEADPHONE-001,1,349.99
ORD-2025-000034,5,LAPTOP-001,2,1299.99
ORD-2025-000035,1,MOUSE-001,1,89.99
ORD-2025-000036,2,PHONE-001,4,999.99
ORD-2025-000037,2,ROUTER-001,4,249.99
ORD-2025-000038,3,MOUSE-001,2,89.99
ORD-2024-000039,1,MOUSE-001,2,89.99
ORD-2025-000040,4,WATCH-001,4,399.99
ORD-2025-000041,2,TABLET-001,1,599.99
ORD-2024-000042,2,MOUSE-001,5,89.99
ORD-2024-000043,1,MONITOR-001,3,499.99
ORD-2025-000044,3,TABLET-001,4,599.99
ORD-2025-000045,4,TABLET-001,5,599.99
ORD-2025-000046,2,WATCH-001,5,399.99
ORD-2025-000047,3,WATCH-001,3,399.99
ORD-2025-000048,2,PHONE-001,2,999.99
ORD-2025-000049,1,ROUTER-001,2,249.99
ORD-2024-000050,4,KEYBOARD-001,4,129.99
ORD-2025-000051,3,LAPTOP-001,5,1299.99
ORD-2025-000052,1,HEADPHONE-001,5,349.99
ORD-2024-000053,5,MOUSE-001,3,89.99
ORD-2024-000054,2,MOUSE-001,5,89.99
ORD-2025-000055,3,MONITOR-001,1,499.99
ORD-2024-000056,3,HEADPHONE-001,3,349.99
ORD-2025-000057,3,PHONE-001,1,999.99
ORD-2025-000058,4,TABLET-001,1,599.99
ORD-2025-000059,2,ROUTER-001,5,249.99
ORD-2024-000060,5,TABLET-001,3,599.99
ORD-2024-000061,3,ROUTER-001,1,249.99
